Year,Month,Day,Hour,Minuete,Second,Humidity,Temperature,voc,pm2_5_alt
2024,7,1,0,0,0,26.5,91.5,532.502,1
2024,7,1,0,10,0,26.8,90.9,537.774,1
2024,7,1,0,20,0,27,90.5,533.94,1.1
2024,7,1,0,30,0,27,90.5,529.308,1.1
2024,7,1,0,40,0,27,90,528.892,1.1
2024,7,1,0,50,0,27.5,89.5,538.874,1.2
2024,7,1,1,0,0,27.9,89.5,541.168,1.1
2024,7,1,1,10,0,28.4,88.7,533.482,1
2024,7,1,1,20,0,28.7,88.5,532.768,1
2024,7,1,1,30,0,29,88.4,532.966,1
2024,7,1,1,40,0,29,88.2,532.556,1
2024,7,1,1,50,0,29,87.7,533.43,1
2024,7,1,2,0,0,28.8,87.5,525.78,0.9
2024,7,1,2,10,0,28.9,87.5,519.468,1
2024,7,1,2,20,0,29,87.1,516.648,0.9
2024,7,1,2,30,0,29.3,86.6,520.57,1.6
2024,7,1,2,40,0,29.4,86.5,544.798,1.7
2024,7,1,2,50,0,29.2,86.5,527.96,1.1
2024,7,1,3,0,0,29.125,86.125,505.817,0.8
2024,7,1,3,10,0,29.1,85.5,505.348,0.8
2024,7,1,3,20,0,28.8,85.6,501.186,0.8
2024,7,1,3,30,0,29,85.5,510.543,1
2024,7,1,3,40,0,29.2,85.1,497.454,0.9
2024,7,1,3,50,0,29.4,84.7,489.412,0.8
2024,7,1,4,0,0,29.5,84.5,483.638,0.8
2024,7,1,4,10,0,29.7,84.5,486.618,0.8
2024,7,1,4,20,0,30,84.5,501.428,0.9
2024,7,1,4,30,0,30.2,84.5,510.028,1
2024,7,1,4,40,0,30.5,84.3,504.348,1
2024,7,1,4,50,0,30.6,84.3,501.852,0.9
2024,7,1,5,0,0,31,84,510.066,1
2024,7,1,5,10,0,31.7,83.5,511.334,1.1
2024,7,1,5,20,0,32,83.5,515.582,1.2
2024,7,1,5,30,0,32.3,83.1,520.818,1.4
2024,7,1,5,40,0,33.2,82.5,526.976,1.6
2024,7,1,5,50,0,33.4,82.5,522.944,1.3
2024,7,1,6,0,0,33.875,82.5,520.667,1.4
2024,7,1,6,10,0,34,82.5,525.804,1.5
2024,7,1,6,20,0,34,82.5,527.812,1.5
2024,7,1,6,30,0,33.7,83.3,520.252,1.5
2024,7,1,6,40,0,32.9,83.6,512.638,1.7
2024,7,1,6,50,0,32.3,84.4,501.776,1.6
2024,7,1,7,0,0,31.8,84.9,487.146,1.4
2024,7,1,7,10,0,31,85.7,477.484,1.4
2024,7,1,7,20,0,30.6,86.5,468.348,1.2
2024,7,1,7,30,0,29.8,87.3,464.9,1.2
2024,7,1,7,40,0,29.1,88.6,459.688,1.3
2024,7,1,7,50,0,29.1,89.4,461.11,2
2024,7,1,8,0,0,28.2,90.1,444.852,1.7
2024,7,1,8,10,0,27.9,91.1,436.41,1.6
2024,7,1,8,20,0,27.6,91.6,422.904,1.7
2024,7,1,8,30,0,27.5,92.5,412.104,1.6
2024,7,1,8,40,0,26.75,93.5,428.647,1.5
2024,7,1,8,50,0,25.8,94.4,443.03,1.5
2024,7,1,9,0,0,25.1,95.4,436.132,1.6
2024,7,1,9,10,0,25,96.1,426.708,1.6
2024,7,1,9,20,0,24.9,96.9,409.608,1.7
2024,7,1,9,30,0,24.8,97.1,390.55,1.5
2024,7,1,9,40,0,24.6,97.5,366.902,1.5
2024,7,1,9,50,0,22.7,98.1,360.812,1.4
2024,7,1,10,0,0,21.7,99.4,365.256,1.4
2024,7,1,10,10,0,21.6,100.6,362.974,1.5
2024,7,1,10,20,0,21,101.5,364.442,1.2
2024,7,1,10,30,0,20.8,101.9,352.028,1.1
2024,7,1,10,40,0,20.7,102.3,340.218,1.2
2024,7,1,10,50,0,20.3,103.1,329.75,1.2
2024,7,1,11,0,0,20.1,103.6,313.882,1.1
2024,7,1,11,10,0,20.1,103.9,292.338,1.3
2024,7,1,11,20,0,19.8,104.7,292.94,1.5
2024,7,1,11,30,0,19.4,104.6,265.986,1.5
2024,7,1,11,40,0,19.5,105.3,239.452,1.6
2024,7,1,11,50,0,19.1,106.3,232.998,1.4
2024,7,1,12,0,0,18.9,106.9,218.308,1.4
2024,7,1,12,10,0,18.6,107.8,210.388,1.4
2024,7,1,12,20,0,18.4,108.4,197.626,1.4
2024,7,1,12,30,0,18.4,108.9,186.968,1.7
2024,7,1,12,40,0,18.2,109.3,170.864,1.5
2024,7,1,12,50,0,17.7,109.9,156.606,1.5
2024,7,1,13,0,0,17,110.5,169.528,1.3
2024,7,1,13,10,0,17,110.9,167.446,1.3
2024,7,1,13,20,0,16.1,111.7,152.546,1.4
2024,7,1,13,30,0,15.7,112.3,151.762,1.4
2024,7,1,13,40,0,15.4,112.5,146.706,1.3
2024,7,1,13,50,0,15.5,112.5,125.918,1.5
2024,7,1,14,0,0,15.8,113.5,123.48,1.3
2024,7,1,14,10,0,15.5,113.5,117.55,1.5
2024,7,1,14,20,0,15.125,113.75,154.247,1.3
2024,7,1,14,30,0,14.8,114.5,157.792,1.3
2024,7,1,14,40,0,14.5,114.6,147.184,1.3
2024,7,1,14,50,0,14.1,115.5,145.664,1.4
2024,7,1,15,0,0,13.6,115.5,137.072,1.6
2024,7,1,15,10,0,13,115.5,132.8,1.4
2024,7,1,15,20,0,13.2,115.5,124.964,1.2
2024,7,1,15,30,0,12.8,115.5,113.092,1.1
2024,7,1,15,40,0,11.7,115.7,97.994,1
2024,7,1,15,50,0,11.4,116.3,114.782,1
2024,7,1,16,0,0,10.3,115.7,115.396,0.9
2024,7,1,16,10,0,10.3,116.3,126.486,0.9
2024,7,1,16,20,0,9.8,116,129.206,0.8
2024,7,1,16,30,0,10,115.9,133.434,0.8
2024,7,1,16,40,0,10.4,115.5,117.846,0.9
2024,7,1,16,50,0,9.9,115.4,123.068,0.8
2024,7,1,17,0,0,9.3,114.6,128.584,0.7
2024,7,1,17,10,0,9.6,114.5,130.562,0.8
2024,7,1,17,20,0,9.7,114.5,136.42,1
2024,7,1,17,30,0,10.8,113.9,110.84,0.9
2024,7,1,17,40,0,11.5,113.5,78.42,0.9
2024,7,1,17,50,0,11.5,113.4,54.986,0.9
2024,7,1,18,0,0,11.5,112.5,52.558,0.8
2024,7,1,18,10,0,11.8,112.5,58.528,0.9
2024,7,1,18,20,0,12.6,112.4,55.208,1
2024,7,1,18,30,0,13.4,111.8,51.594,1
2024,7,1,18,40,0,13.9,111.1,59.226,1
2024,7,1,18,50,0,14.4,110.5,78.202,0.9
2024,7,1,19,0,0,15,109.7,89.74,1
2024,7,1,19,10,0,16.1,108.9,93.826,1.1
2024,7,1,19,20,0,17.2,108.2,110.802,1.5
2024,7,1,19,30,0,18.4,107.3,116.496,1.7
2024,7,1,19,40,0,19.5,106.2,127.638,1.9
2024,7,1,19,50,0,20.9,105.1,136.626,1.9
2024,7,1,20,0,0,22,104.1,151.684,1.6
2024,7,1,20,10,0,22.9,103.1,164.25,1.6
2024,7,1,20,20,0,24.1,102.1,183.258,1.8
2024,7,1,20,30,0,24.9,101.1,199.674,1.7
2024,7,1,20,40,0,25.3,100.5,224.048,1.8
2024,7,1,20,50,0,25.4,99.5,236.024,1.7
2024,7,1,21,0,0,25.9,99.1,251.69,1.7
2024,7,1,21,10,0,26,98.5,276.142,1.7
2024,7,1,21,20,0,25.8,98.4,302.702,1.8
2024,7,1,21,30,0,25.2,98.2,311.31,1.8
2024,7,1,21,40,0,25.4,97.5,315.84,1.8
2024,7,1,21,50,0,26.1,97.3,334.616,1.8
2024,7,1,22,0,0,26.7,96.5,359.37,2
2024,7,1,22,10,0,27,95.7,335.424,1.7
2024,7,1,22,20,0,27,95.5,319.804,1.6
2024,7,1,22,30,0,27.6,94.9,325.976,1.5
2024,7,1,22,40,0,27.6,94.5,343.64,1.7
2024,7,1,22,50,0,27.7,94.3,342.274,1.8
2024,7,1,23,0,0,27.9,93.7,347.298,1.9
2024,7,1,23,10,0,27.9,93.4,343.472,1.8
2024,7,1,23,20,0,27.9,93.5,361.058,1.8
2024,7,1,23,30,0,27.8,92.7,381.666,1.7
2024,7,1,23,40,0,28,92.5,392.93,1.8
2024,7,1,23,50,0,28.2,92.2,407.28,1.7
2024,7,2,0,0,0,28.7,91.5,427.584,1.8
2024,7,2,0,10,0,28.9,91.5,443.722,2
